id,uuid,pid,language,title,fname,mname,lname,suffix,DOB,age,sex,street,city,state,postal_code,county,drivers_license,ss,phone_cell,occupation,status,pharmacy_id,race,ethnicity,email,pricelevel,deceased_date,deceased_reason,pubpid,date,regdate,religion,country_code,phone_home,phone_biz,phone_contact,contact_relationship,gender_identity,sexual_orientation,referrer,referrerID,email_direct,ethnoracial,interpretter,migrantseasonal,family_size,financial,monthly_income,homeless,genericname1,genericval1,genericname2,genericval2,squad,referral_source,primary_insurance,usertext2,usertext3,usertext4,usertext5,usertext6,usertext7,usertext8,userlist1,userlist2,userlist3,userlist4,userlist5,userlist6,userlist7,advance_directive_user_authenticator,vfc,mothersname,allow_imm_reg_use,allow_imm_info_share,allow_health_info_ex,allow_patient_portal,preferred_name,sex_identified,pronoun,providerID,ref_providerID,billing_note,financial_review,hipaa_mail,hipaa_voice,hipaa_notice,hipaa_message,hipaa_allowsms,hipaa_allowemail,fitness,contrastart,completed_ad,ad_reviewed,guardiansname,soap_import_status,cmsportal_login,care_team_provider,care_team_facility,care_team_status,industry,imm_reg_status,imm_reg_stat_effdate,publicity_code,publ_code_eff_date,protect_indicator,prot_indi_effdate,guardianrelationship,guardiansex,guardianaddress,guardiancity,guardianstate,guardianpostalcode,guardiancountry,guardianphone,guardianworkphone,guardianemail,birth_fname,birth_lname,birth_mname,dupscore,name_history,street_line_2,patient_groups,prevent_portal_apps,provider_since_date,created_by,updated_by,cost
11,NULL,11,English,,Mufeeda,Y,Khoury, ,9/25/1997,29,Female,94420 Scruttons Place,Austin,TX,78731,Travis County,,759-46-7487,505-823-3326,Press operator,Widowed,0,Hawaiian or Pacific Islander,Hispanic or Latino,,standard,NULL,,MK-18F-18F00,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,72
12,NULL,12,English,Mr.,Polo,M,Sandyman,PMP,5/4/2007,19,Male,4531 Enfield Grove,Austin,TX,78763,Travis County,,419-61-3182,431-608-7599,Medical records and health information technician,Single,0,Asian,Hispanic or Latino,,standard,NULL,,PS-50M-90B07,0000-00-00 00:00:00,0000-00-00 00:00:00,Judaism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,233
13,NULL,13,English,Mrs.,Kisanet,A,Nuguse, ,11/17/1996,30,Female,72502 Tainui Ln,Pflugerville,TX,78691,Travis County,,811-73-4288,507-486-4635,Traffic clerk,Single,0,White,Not Hispanic or Latino,,discount,NULL,,KN-36F-F2792,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,104
14,NULL,14,English,Mr.,Sagramor,L,Twofoot, ,2/26/1974,52,Male,77573 Cubbine St,Austin,TX,78745,Travis County,,419-27-9734,720-254-8269,Advisor investigator,Single,0,American Indian,Hispanic or Latino,,standard,NULL,,ST-82M-CD8E0,0000-00-00 00:00:00,0000-00-00 00:00:00,Islam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,63
15,NULL,15,English,Hon.,Donatela,G,Iglesias, ,11/16/1934,92,Female,54044 Apollo Blvd,San antonio,TX,78203,Bexar County,,228-48-1340,887-111-6521,Mixing and blending machine operator,Single,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,discount,NULL,,DI-68F-79AD9,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,243
16,NULL,16,English,Mrs.,Jana,P,Dubska, ,4/11/1951,75,Female,4320 Jonas Parkway,San antonio,TX,78265,Bexar County,,747-25-4139,446-056-9031,Airman,Single,0,Black,Not Hispanic or Latino,,discount,NULL,,JD-90F-B7AA0,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,183
17,NULL,17,English,Hon.,Suzanne,,Holmes, ,10/29/1959,67,Female,35011 Hyslop Lane,Austin,TX,78748,Travis County,,294-52-0856,316-211-4040,Experimental psychologist,Single,0,Black,Not Hispanic or Latino,,standard,NULL,,SH-33F-B1E65,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,158
18,NULL,18,English,Ms.,Lkor,V,Kruge, ,2/16/1985,41,Female,58847 Birkinshaw Drive,Austin,TX,78763,Travis County,,575-12-1790,850-717-0804,Telephone line installer,Married,0,Hawaiian or Pacific Islander,Not Hispanic or Latino,,standard,NULL,,LK-58F-EA71A,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,213
19,NULL,19,English,Mrs.,Vanessa,,Morgan, ,6/20/1966,60,Female,89963 Manhattan Sq,Austin,TX,78722,Travis County,,612-84-5263,820-544-6490,News analyst,Single,0,White,Not Hispanic or Latino,,discount,NULL,,VM-98F-A60F6,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,288
20,NULL,20,English,Mrs.,Hanayo,M,Tamura, ,10/15/1974,52,Female,30891 Roscommon Drive,Austin,TX,78737,Hays County,,671-09-1335,507-443-0272,Fine artist,Single,0,White,Hispanic or Latino,,discount,NULL,,HT-101F-8D25E,0000-00-00 00:00:00,0000-00-00 00:00:00,Islam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,229
21,NULL,21,English,Ms.,Idalia,A,Duenas, ,6/13/1997,29,Female,78603 Stoneyhurst Pkwy,San antonio,TX,78240,Bexar County,,769-84-1071,237-268-2498,Computer scientist,Single,0,American Indian,Hispanic or Latino,,discount,NULL,,ID-52F-AB10A,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,254
22,NULL,22,English,Ms.,Kimika,K,Kinjo, ,4/18/1981,45,Female,39410 Hawthorne Road,San antonio,TX,78202,Bexar County,,291-75-7802,606-425-0195,Administrator,Widowed,0,Asian,Not Hispanic or Latino,,discount,NULL,,KK-53F-28AF8,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,281
23,NULL,23,English,Mrs.,Skye,L,Sutherland, ,10/14/1983,43,Female,97743 Soling Street,Bulverde,TX,78163,Bexar County,,117-87-4188,658-735-1492,Information technology trainer,Single,0,White,Hispanic or Latino,,standard,NULL,,SS-49F-94B6E,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,70
24,NULL,24,English,Mrs.,Emily,T,Derry, ,11/24/1945,81,Female,5606 Tarndale Hwy,San antonio,TX,78213,Bexar County,,876-99-9629,781-385-4428,Photogrammetrist,Divorced,0,Black,Not Hispanic or Latino,,standard,NULL,,ED-59F-C73CC,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,291
25,NULL,25,English,,Paladin,C,Brown, ,2/21/1997,29,Male,54255 Hasbury Road,San antonio,TX,78258,Bexar County,,772-73-8900,260-311-7385,Charter bus driver,Single,0,American Indian,Not Hispanic or Latino,,standard,NULL,,PB-22M-93DA1,0000-00-00 00:00:00,0000-00-00 00:00:00,Islam,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,131
26,NULL,26,English,Mr.,Damian,A,Quiroz, ,4/1/1967,59,Male,59951 South Molle Pkwy,San marcos,TX,78667,Hays County,,598-45-0673,906-223-0370,Interior designer,Married,0,Asian,Not Hispanic or Latino,,standard,NULL,,DQ-27M-FE44F,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,295
27,NULL,27,English,Mr.,Arihiro,Y,Kawabata, ,12/18/1987,39,Male,1973 Barnes Ct,San antonio,TX,78259,Bexar County,,772-17-6337,247-073-5191,Management development specialist,Divorced,0,White,Not Hispanic or Latino,,standard,NULL,,AK-67M-7EDE1,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,240
28,NULL,28,English,Mr.,Gregory,H,Ferguson, ,10/18/1941,85,Male,13178 Pukatea Sq,New braunfels,TX,78130,Guadalupe County,,859-94-9174,834-383-0249,Radio mechanic,Married,0,White,Not Hispanic or Latino,,standard,NULL,,GF-87M-26539,0000-00-00 00:00:00,0000-00-00 00:00:00,None,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,286
29,NULL,29,English,Hon.,Sora,S,Ageda,CAHIMS,4/15/1939,87,Male,25647 Tarewa Cove,San antonio,TX,78226,Bexar County,,413-41-8403,838-393-4175,EMR Database administrator,Single,0,White,Not Hispanic or Latino,,discount,NULL,,SA-73M-EA133,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,136
30,NULL,30,English,Ms.,Mattie,D,Budd, ,6/25/1936,90,Female,39968 Farrelly Ave,Austin,TX,78701,Travis County,,336-65-7953,615-892-7412,Captain,Single,0,Black,Not Hispanic or Latino,,standard,NULL,,MB-39F-1821F,0000-00-00 00:00:00,0000-00-00 00:00:00,Christianity,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,67
31,NULL,31,English,Prof.,Klaus,,Lomeli,PhD,9/28/2003,23,Male,20864 Waller Cove,Austin,TX,78736,Hays County,,145-46-0603,381-440-1999,Professor,Married,0,American Indian,Not Hispanic or Latino,,standard,NULL,,KL-31M-FC8C8,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,167
32,NULL,32,English,Ms.,Taylah,J,Gay,MBA,8/30/1999,27,Female,91548 Lord Hwy,Austin,TX,78752,Travis County,,109-53-3097,690-438-1723,PBX operator,Married,0,Black,Not Hispanic or Latino,,standard,NULL,,TG-71F-F484C,0000-00-00 00:00:00,0000-00-00 00:00:00,Buddhism,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,YES,,,,NULL,NULL,NULL,NULL,NO,NO,NO,NO,YES,NO,0,NULL,NO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,1,63
